nickname,kd_ratio
-Nami,0.9196940726577438
mtsGOD,0.6122448979591837
★ ⑳ JonY BoY,1.04
betinho,0.4
agoz,1.1774193548387095
bq,0.8231046931407943
Ex3rcice,1.0018214936247722
PeTeRoOo,0.7202797202797203
easy,1.1162790697674418
noeN,0.975333827893175
tonysalva,1.2323232323232325
JBOEN,1.0246179966044142
Chr1zN,0.872093023255814
sense,0.8846153846153846
dok,0.9936102236421726
revoltz,0.8997867803837953
Keoz,0.8651851851851852
mantuu,1.1483870967741936
naitte,0.9976744186046512
Dabbehhh,1.0672268907563025
lezy,0.925925925925926
lcm,1.101522842639594
beg0d,1.1011673151750974
cHeuuuuk',0.8351498637602179
Tapewaare,0.9230769230769232
bodyaooo,1.1161971830985915
olimp,0.9068627450980392
matios,0.8473282442748091
vhs,0.723404255319149
kfed,1.2
✓ ★ ⑳ Lukita_fps,0.7372262773722628
fiR3,0.8156649313771889
SpavaQu,1.0190555095277547
spargo,1.0594965675057209
Maarkoos,1.0367567567567568
Lich,0.940983606557377
desh,1.3344051446945338
allee**,1.0862068965517242
smooya,1.205
fr3nd,1.0762631077216396
doc,1.1063394683026584
T0PAZ-,0.84375
Markz,0.9917808219178084
shalfey111,1.146964856230032
Equip,0.8090976882923192
Jackinho,1.0148698884758365
marat2k 風速,0.9984326018808778
M1key,1.0349013657056143
juanflatroo,0.9587912087912088
2high,0.9566326530612244
nicks,1.0120481927710845
diozera,1.1342756183745584
brnr,0.8938053097345132
Zolo^,0.922077922077922
n1Xen,0.9930220075147612
neozix,0.8604651162790697
reg1no.O,0.625
kyxsan,0.9044585987261148
KAISERzy,1.088235294117647
j0w_.,1.0105042016806722
Maluk3,0.86
Tatu,0.995085995085995
s1zen,0.9635157545605308
roy,0.9488636363636364
sugaR,1.1571936056838366
spooke,1.031301482701812
ivz,1.0828402366863903
lealziNho,0.9313304721030042
leleo,0.7770034843205574
⑳ JLK,0.780327868852459
raalz,0.8903846153846153
woozzzi,1.0062893081761006
leaf,0.8599033816425121
s1cko,1.2272727272727273
mello,1.3611111111111112
swarmyzz,1.0717299578059072
TMB,0.8420467185761957
dott1,0.9476309226932668
castrz,0.6985294117647058
short,1.142433234421365
PANDAZ-,0.9621212121212122
skr,1.156549520766773
wenba,1.0
SHOGU,1.1428571428571428
mav1k,0.8725310899780542
ofvirkur,1.3225806451612905
DOM-,0.8402777777777778
Extinct,0.829688535453943
hfah,1.1320754716981132
agt,0.4719101123595505
slashzz,0.971830985915493
5tumble,0.8939393939393939
kiR,0.925414364640884
szejn',1.0080045740423098
mithputtini,1.0888888888888888
baccseven,1.1946902654867255
phr,0.9395695364238412
insan1tyy,1.0603448275862069
lub9,0.8774193548387097
t3ns1on,1.1018711018711018
quixD,0.7575757575757576
ykis,1.03125
Klameczka,0.5319148936170213
FpSSS,1.0202108963093146
devoduvek力,0.777394900068918
bondik,1.0391246684350133
suma,0.8634146341463415
beastik,0.8078725398313027
⑳ tutehen,0.8685121107266436
RavlE,1.1666666666666667
StebbiC0C0,1.2222222222222223
doobs,0.7272727272727273
guH,0.7727272727272727
dziugss,0.9968253968253968
teleD,1.0319148936170213
Buzz,1.103225806451613
arvid,0.9889415481832544
★ ⑲ iogazeraXD,0.4666666666666667
bevve,0.7719298245614035
pavv+,1.014388489208633
ksloks,1.108910891089109
Marix,0.9994385176866928
ALLE,1.0962962962962963
AceGeir,0.3125
piriajr,1.1238670694864048
ammar-iwnl-,1.4137931034482758
Midgard,1.174757281553398
