player_id,general,combat,performance,economy,progression,segments
111205,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 0, 'average': 0.0, 'max': 0}}",[]
111207,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 6, 'average': 6.0, 'best': 6, 'worst': 6}, 'deaths': {'total': 14, 'average': 14.0, 'worst': 14, 'best': 14}, 'first_kills': {'total': 1, 'percentage': 100.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 41935, 'average': 20967.5, 'max': 27161}}",[]
111211,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 0, 'average': 0.0, 'max': 0}}",[]
111234,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 0, 'average': 0.0, 'max': 0}}",[]
111236,"{'series_played': 5, 'games_played': 10}","{'kills': {'total': 72, 'average': 14.4, 'best': 18, 'worst': 9}, 'deaths': {'total': 35, 'average': 7.0, 'worst': 15, 'best': 1}, 'first_kills': {'total': 4, 'percentage': 80.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 231524, 'average': 23152.4, 'max': 39717}}",[]
111238,"{'series_played': 10, 'games_played': 24}","{'kills': {'total': 279, 'average': 27.9, 'best': 43, 'worst': 9}, 'deaths': {'total': 324, 'average': 32.4, 'worst': 55, 'best': 11}, 'first_kills': {'total': 9, 'percentage': 90.0}, 'damage': {'total': 31412, 'average': 1308.8333333333333, 'max': 2353}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 507, 'combat': {'kills': {'total': 279, 'average': 0.5502958579881657}, 'deaths': {'total': 324, 'average': 0.6390532544378699}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 6, 'avg_completions': 0.011834319526627219, 'first_completions': {'count': 502, 'percentage': 99.0138067061144}}, {'type': 'beginDefuseWithoutKit', 'completions': 1, 'avg_completions': 0.0019723865877712033, 'first_completions': {'count': 506, 'percentage': 99.80276134122288}}, {'type': 'explodeBomb', 'completions': 19, 'avg_completions': 0.03747534516765286, 'first_completions': {'count': 488, 'percentage': 96.25246548323472}}, {'type': 'plantBomb', 'completions': 46, 'avg_completions': 0.09072978303747535, 'first_completions': {'count': 461, 'percentage': 90.92702169625247}}], 'win_rate': 47.53451676528599}]"
111240,"{'series_played': 10, 'games_played': 24}","{'kills': {'total': 353, 'average': 35.3, 'best': 58, 'worst': 19}, 'deaths': {'total': 317, 'average': 31.7, 'worst': 53, 'best': 7}, 'first_kills': {'total': 10, 'percentage': 100.0}, 'damage': {'total': 37678, 'average': 1569.9166666666667, 'max': 2401}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 507, 'combat': {'kills': {'total': 353, 'average': 0.6962524654832347}, 'deaths': {'total': 317, 'average': 0.6252465483234714}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 4, 'avg_completions': 0.007889546351084813, 'first_completions': {'count': 504, 'percentage': 99.40828402366864}}, {'type': 'beginDefuseWithoutKit', 'completions': 6, 'avg_completions': 0.011834319526627219, 'first_completions': {'count': 503, 'percentage': 99.21104536489152}}, {'type': 'explodeBomb', 'completions': 9, 'avg_completions': 0.01775147928994083, 'first_completions': {'count': 498, 'percentage': 98.22485207100591}}, {'type': 'plantBomb', 'completions': 36, 'avg_completions': 0.07100591715976332, 'first_completions': {'count': 471, 'percentage': 92.89940828402366}}], 'win_rate': 47.53451676528599}]"
111242,"{'series_played': 10, 'games_played': 24}","{'kills': {'total': 363, 'average': 36.3, 'best': 51, 'worst': 15}, 'deaths': {'total': 346, 'average': 34.6, 'worst': 56, 'best': 10}, 'first_kills': {'total': 9, 'percentage': 90.0}, 'damage': {'total': 41781, 'average': 1740.875, 'max': 2492}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 507, 'combat': {'kills': {'total': 363, 'average': 0.7159763313609467}, 'deaths': {'total': 346, 'average': 0.6824457593688363}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 1, 'avg_completions': 0.0019723865877712033, 'first_completions': {'count': 506, 'percentage': 99.80276134122288}}, {'type': 'beginDefuseWithoutKit', 'completions': 5, 'avg_completions': 0.009861932938856016, 'first_completions': {'count': 503, 'percentage': 99.21104536489152}}, {'type': 'explodeBomb', 'completions': 2, 'avg_completions': 0.0039447731755424065, 'first_completions': {'count': 505, 'percentage': 99.60552268244575}}, {'type': 'plantBomb', 'completions': 6, 'avg_completions': 0.011834319526627219, 'first_completions': {'count': 501, 'percentage': 98.81656804733728}}], 'win_rate': 47.53451676528599}]"
111244,"{'series_played': 10, 'games_played': 24}","{'kills': {'total': 396, 'average': 39.6, 'best': 59, 'worst': 16}, 'deaths': {'total': 320, 'average': 32.0, 'worst': 55, 'best': 11}, 'first_kills': {'total': 10, 'percentage': 100.0}, 'damage': {'total': 41107, 'average': 1712.7916666666667, 'max': 2529}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 507, 'combat': {'kills': {'total': 396, 'average': 0.7810650887573964}, 'deaths': {'total': 320, 'average': 0.631163708086785}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 5, 'avg_completions': 0.009861932938856016, 'first_completions': {'count': 502, 'percentage': 99.0138067061144}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.0039447731755424065, 'first_completions': {'count': 505, 'percentage': 99.60552268244575}}, {'type': 'explodeBomb', 'completions': 5, 'avg_completions': 0.009861932938856016, 'first_completions': {'count': 502, 'percentage': 99.0138067061144}}, {'type': 'plantBomb', 'completions': 23, 'avg_completions': 0.045364891518737675, 'first_completions': {'count': 484, 'percentage': 95.46351084812623}}], 'win_rate': 47.53451676528599}]"
111246,"{'series_played': 3, 'games_played': 9}","{'kills': {'total': 137, 'average': 45.666666666666664, 'best': 49, 'worst': 44}, 'deaths': {'total': 149, 'average': 49.666666666666664, 'worst': 53, 'best': 44}, 'first_kills': {'total': 3, 'percentage': 100.0}, 'damage': {'total': 15326, 'average': 1702.888888888889, 'max': 2561}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 211, 'combat': {'kills': {'total': 137, 'average': 0.6492890995260664}, 'deaths': {'total': 149, 'average': 0.7061611374407583}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 2, 'avg_completions': 0.009478672985781991, 'first_completions': {'count': 209, 'percentage': 99.0521327014218}}, {'type': 'beginDefuseWithoutKit', 'completions': 3, 'avg_completions': 0.014218009478672985, 'first_completions': {'count': 209, 'percentage': 99.0521327014218}}, {'type': 'explodeBomb', 'completions': 5, 'avg_completions': 0.023696682464454975, 'first_completions': {'count': 206, 'percentage': 97.6303317535545}}, {'type': 'plantBomb', 'completions': 17, 'avg_completions': 0.08056872037914692, 'first_completions': {'count': 194, 'percentage': 91.9431279620853}}], 'win_rate': 50.71090047393365}]"
