player_id,general,combat,performance,economy,segments
115250,"{'series_played': 6, 'games_played': 12}","{'kills': {'total': 187, 'average': 31.166666666666668, 'best': 39, 'worst': 14}, 'deaths': {'total': 166, 'average': 27.666666666666668, 'worst': 44, 'best': 10}, 'first_kills': {'total': 5, 'percentage': 83.33333333333334}, 'damage': {'total': 21098, 'average': 1758.1666666666667, 'max': 3567}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 264, 'combat': {'kills': {'total': 187, 'average': 0.7083333333333334}, 'deaths': {'total': 166, 'average': 0.6287878787878788}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 8, 'avg_completions': 0.030303030303030304, 'first_completions': {'count': 257, 'percentage': 97.34848484848484}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.007575757575757576, 'first_completions': {'count': 262, 'percentage': 99.24242424242425}}, {'type': 'explodeBomb', 'completions': 5, 'avg_completions': 0.01893939393939394, 'first_completions': {'count': 259, 'percentage': 98.10606060606061}}, {'type': 'plantBomb', 'completions': 21, 'avg_completions': 0.07954545454545454, 'first_completions': {'count': 243, 'percentage': 92.04545454545455}}], 'win_rate': 44.696969696969695}]"
115282,"{'series_played': 4, 'games_played': 12}","{'kills': {'total': 183, 'average': 45.75, 'best': 58, 'worst': 38}, 'deaths': {'total': 173, 'average': 43.25, 'worst': 49, 'best': 34}, 'first_kills': {'total': 4, 'percentage': 100.0}, 'damage': {'total': 18977, 'average': 1581.4166666666667, 'max': 2363}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 262, 'combat': {'kills': {'total': 183, 'average': 0.6984732824427481}, 'deaths': {'total': 173, 'average': 0.6603053435114504}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 4, 'avg_completions': 0.015267175572519083, 'first_completions': {'count': 260, 'percentage': 99.23664122137404}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.007633587786259542, 'first_completions': {'count': 260, 'percentage': 99.23664122137404}}, {'type': 'explodeBomb', 'completions': 4, 'avg_completions': 0.015267175572519083, 'first_completions': {'count': 258, 'percentage': 98.47328244274809}}, {'type': 'plantBomb', 'completions': 13, 'avg_completions': 0.04961832061068702, 'first_completions': {'count': 249, 'percentage': 95.0381679389313}}], 'win_rate': 50.76335877862596}]"
115284,"{'series_played': 8, 'games_played': 22}","{'kills': {'total': 346, 'average': 43.25, 'best': 56, 'worst': 31}, 'deaths': {'total': 369, 'average': 46.125, 'worst': 57, 'best': 30}, 'first_kills': {'total': 8, 'percentage': 100.0}, 'damage': {'total': 42580, 'average': 1935.4545454545455, 'max': 3068}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 481, 'combat': {'kills': {'total': 346, 'average': 0.7193347193347194}, 'deaths': {'total': 369, 'average': 0.7671517671517671}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 481, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 3, 'avg_completions': 0.006237006237006237, 'first_completions': {'count': 478, 'percentage': 99.37629937629939}}, {'type': 'explodeBomb', 'completions': 2, 'avg_completions': 0.004158004158004158, 'first_completions': {'count': 479, 'percentage': 99.58419958419958}}, {'type': 'plantBomb', 'completions': 7, 'avg_completions': 0.014553014553014554, 'first_completions': {'count': 474, 'percentage': 98.54469854469855}}], 'win_rate': 50.51975051975052}]"
115286,"{'series_played': 4, 'games_played': 12}","{'kills': {'total': 159, 'average': 39.75, 'best': 53, 'worst': 26}, 'deaths': {'total': 172, 'average': 43.0, 'worst': 50, 'best': 36}, 'first_kills': {'total': 4, 'percentage': 100.0}, 'damage': {'total': 17485, 'average': 1457.0833333333333, 'max': 1915}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 262, 'combat': {'kills': {'total': 159, 'average': 0.6068702290076335}, 'deaths': {'total': 172, 'average': 0.6564885496183206}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 6, 'avg_completions': 0.022900763358778626, 'first_completions': {'count': 258, 'percentage': 98.47328244274809}}, {'type': 'beginDefuseWithoutKit', 'completions': 1, 'avg_completions': 0.003816793893129771, 'first_completions': {'count': 261, 'percentage': 99.61832061068702}}, {'type': 'explodeBomb', 'completions': 8, 'avg_completions': 0.030534351145038167, 'first_completions': {'count': 254, 'percentage': 96.94656488549617}}, {'type': 'plantBomb', 'completions': 22, 'avg_completions': 0.08396946564885496, 'first_completions': {'count': 240, 'percentage': 91.6030534351145}}], 'win_rate': 50.76335877862596}]"
115288,"{'series_played': 10, 'games_played': 25}","{'kills': {'total': 336, 'average': 33.6, 'best': 50, 'worst': 11}, 'deaths': {'total': 323, 'average': 32.3, 'worst': 40, 'best': 17}, 'first_kills': {'total': 9, 'percentage': 90.0}, 'damage': {'total': 35061, 'average': 1402.44, 'max': 2327}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 539, 'combat': {'kills': {'total': 336, 'average': 0.6233766233766234}, 'deaths': {'total': 323, 'average': 0.5992578849721707}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 5, 'avg_completions': 0.00927643784786642, 'first_completions': {'count': 534, 'percentage': 99.07235621521335}}, {'type': 'beginDefuseWithoutKit', 'completions': 11, 'avg_completions': 0.02040816326530612, 'first_completions': {'count': 529, 'percentage': 98.14471243042672}}, {'type': 'explodeBomb', 'completions': 20, 'avg_completions': 0.03710575139146568, 'first_completions': {'count': 519, 'percentage': 96.28942486085343}}, {'type': 'plantBomb', 'completions': 60, 'avg_completions': 0.11131725417439703, 'first_completions': {'count': 479, 'percentage': 88.86827458256029}}], 'win_rate': 52.875695732838594}]"
115290,"{'series_played': 4, 'games_played': 12}","{'kills': {'total': 186, 'average': 46.5, 'best': 57, 'worst': 38}, 'deaths': {'total': 199, 'average': 49.75, 'worst': 57, 'best': 42}, 'first_kills': {'total': 3, 'percentage': 75.0}, 'damage': {'total': 19473, 'average': 1622.75, 'max': 2623}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 262, 'combat': {'kills': {'total': 186, 'average': 0.7099236641221374}, 'deaths': {'total': 199, 'average': 0.7595419847328244}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 1, 'avg_completions': 0.003816793893129771, 'first_completions': {'count': 261, 'percentage': 99.61832061068702}}, {'type': 'beginDefuseWithoutKit', 'completions': 3, 'avg_completions': 0.011450381679389313, 'first_completions': {'count': 259, 'percentage': 98.85496183206108}}, {'type': 'explodeBomb', 'completions': 3, 'avg_completions': 0.011450381679389313, 'first_completions': {'count': 259, 'percentage': 98.85496183206108}}, {'type': 'plantBomb', 'completions': 7, 'avg_completions': 0.026717557251908396, 'first_completions': {'count': 255, 'percentage': 97.32824427480917}}], 'win_rate': 50.76335877862596}]"
115309,"{'series_played': 4, 'games_played': 10}","{'kills': {'total': 150, 'average': 37.5, 'best': 53, 'worst': 28}, 'deaths': {'total': 125, 'average': 31.25, 'worst': 39, 'best': 24}, 'first_kills': {'total': 4, 'percentage': 100.0}, 'damage': {'total': 16883, 'average': 1688.3, 'max': 2766}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 199, 'combat': {'kills': {'total': 150, 'average': 0.7537688442211056}, 'deaths': {'total': 125, 'average': 0.628140703517588}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 3, 'avg_completions': 0.01507537688442211, 'first_completions': {'count': 196, 'percentage': 98.49246231155779}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 199, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 6, 'avg_completions': 0.03015075376884422, 'first_completions': {'count': 193, 'percentage': 96.98492462311557}}, {'type': 'plantBomb', 'completions': 11, 'avg_completions': 0.05527638190954774, 'first_completions': {'count': 188, 'percentage': 94.47236180904522}}], 'win_rate': 51.256281407035175}]"
115316,"{'series_played': 2, 'games_played': 4}","{'kills': {'total': 41, 'average': 20.5, 'best': 29, 'worst': 12}, 'deaths': {'total': 63, 'average': 31.5, 'worst': 45, 'best': 18}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 4514, 'average': 1128.5, 'max': 2356}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 85, 'combat': {'kills': {'total': 41, 'average': 0.4823529411764706}, 'deaths': {'total': 63, 'average': 0.7411764705882353}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 85, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 85, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 85, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 4, 'avg_completions': 0.047058823529411764, 'first_completions': {'count': 81, 'percentage': 95.29411764705881}}], 'win_rate': 60.0}]"
115318,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 13, 'average': 13.0, 'best': 13, 'worst': 13}, 'deaths': {'total': 16, 'average': 16.0, 'worst': 16, 'best': 16}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 1363, 'average': 681.5, 'max': 1363}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 32, 'combat': {'kills': {'total': 13, 'average': 0.40625}, 'deaths': {'total': 16, 'average': 0.5}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 2, 'avg_completions': 0.0625, 'first_completions': {'count': 30, 'percentage': 93.75}}], 'win_rate': 59.375}]"
115320,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 9, 'average': 9.0, 'best': 9, 'worst': 9}, 'deaths': {'total': 14, 'average': 14.0, 'worst': 14, 'best': 14}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 1071, 'average': 535.5, 'max': 1071}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 32, 'combat': {'kills': {'total': 9, 'average': 0.28125}, 'deaths': {'total': 14, 'average': 0.4375}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 1, 'avg_completions': 0.03125, 'first_completions': {'count': 31, 'percentage': 96.875}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 2, 'avg_completions': 0.0625, 'first_completions': {'count': 30, 'percentage': 93.75}}, {'type': 'plantBomb', 'completions': 3, 'avg_completions': 0.09375, 'first_completions': {'count': 29, 'percentage': 90.625}}], 'win_rate': 59.375}]"
115322,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 13, 'average': 13.0, 'best': 13, 'worst': 13}, 'deaths': {'total': 17, 'average': 17.0, 'worst': 17, 'best': 17}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 1667, 'average': 833.5, 'max': 1667}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 32, 'combat': {'kills': {'total': 13, 'average': 0.40625}, 'deaths': {'total': 17, 'average': 0.53125}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}], 'win_rate': 59.375}]"
115324,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 14, 'average': 14.0, 'best': 14, 'worst': 14}, 'deaths': {'total': 15, 'average': 15.0, 'worst': 15, 'best': 15}, 'first_kills': {'total': 0, 'percentage': 0.0}, 'damage': {'total': 1672, 'average': 836.0, 'max': 1672}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 32, 'combat': {'kills': {'total': 14, 'average': 0.4375}, 'deaths': {'total': 15, 'average': 0.46875}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 1, 'avg_completions': 0.03125, 'first_completions': {'count': 31, 'percentage': 96.875}}], 'win_rate': 56.25}]"
115326,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 12, 'average': 12.0, 'best': 12, 'worst': 12}, 'deaths': {'total': 15, 'average': 15.0, 'worst': 15, 'best': 15}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 1081, 'average': 540.5, 'max': 1081}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 32, 'combat': {'kills': {'total': 12, 'average': 0.375}, 'deaths': {'total': 15, 'average': 0.46875}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 2, 'avg_completions': 0.0625, 'first_completions': {'count': 30, 'percentage': 93.75}}], 'win_rate': 56.25}]"
115328,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 4, 'average': 4.0, 'best': 4, 'worst': 4}, 'deaths': {'total': 18, 'average': 18.0, 'worst': 18, 'best': 18}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 822, 'average': 411.0, 'max': 822}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 32, 'combat': {'kills': {'total': 4, 'average': 0.125}, 'deaths': {'total': 18, 'average': 0.5625}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 1, 'avg_completions': 0.03125, 'first_completions': {'count': 31, 'percentage': 96.875}}, {'type': 'plantBomb', 'completions': 1, 'avg_completions': 0.03125, 'first_completions': {'count': 31, 'percentage': 96.875}}], 'win_rate': 56.25}]"
115336,"{'series_played': 1, 'games_played': 2}","{'kills': {'total': 2, 'average': 2.0, 'best': 2, 'worst': 2}, 'deaths': {'total': 2, 'average': 2.0, 'worst': 2, 'best': 2}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 394, 'average': 197.0, 'max': 394}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 32, 'combat': {'kills': {'total': 2, 'average': 0.0625}, 'deaths': {'total': 2, 'average': 0.0625}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 32, 'percentage': 100.0}}], 'win_rate': 90.625}]"
