player_id,general,combat,performance,economy,segments,progression
112853,"{'series_played': 4, 'games_played': 10}","{'kills': {'total': 144, 'average': 36.0, 'best': 45, 'worst': 27}, 'deaths': {'total': 133, 'average': 33.25, 'worst': 42, 'best': 27}, 'first_kills': {'total': 4, 'percentage': 100.0}, 'damage': {'total': 16180, 'average': 1618.0, 'max': 2251}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 204, 'combat': {'kills': {'total': 144, 'average': 0.7058823529411765}, 'deaths': {'total': 133, 'average': 0.6519607843137255}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 204, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 204, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 3, 'avg_completions': 0.014705882352941176, 'first_completions': {'count': 201, 'percentage': 98.52941176470588}}, {'type': 'plantBomb', 'completions': 15, 'avg_completions': 0.07352941176470588, 'first_completions': {'count': 189, 'percentage': 92.64705882352942}}], 'win_rate': 47.549019607843135}]",
112857,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}, 'damage': {'total': 0, 'average': 0.0, 'max': 0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 0, 'combat': {'kills': {'total': 0, 'average': 0.0}, 'deaths': {'total': 0, 'average': 0.0}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 0, 'percentage': 0.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 0, 'percentage': 0.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 0, 'percentage': 0.0}}, {'type': 'plantBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 0, 'percentage': 0.0}}], 'win_rate': 0.0}]",
112859,"{'series_played': 30, 'games_played': 83}","{'kills': {'total': 1398, 'average': 46.6, 'best': 65, 'worst': 26}, 'deaths': {'total': 1238, 'average': 41.266666666666666, 'worst': 73, 'best': 22}, 'first_kills': {'total': 28, 'percentage': 93.33333333333333}, 'damage': {'total': 149068, 'average': 1796.0, 'max': 3953}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 1800, 'combat': {'kills': {'total': 1398, 'average': 0.7766666666666666}, 'deaths': {'total': 1238, 'average': 0.6877777777777778}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 30, 'avg_completions': 0.016666666666666666, 'first_completions': {'count': 1778, 'percentage': 98.77777777777777}}, {'type': 'beginDefuseWithoutKit', 'completions': 13, 'avg_completions': 0.007222222222222222, 'first_completions': {'count': 1793, 'percentage': 99.6111111111111}}, {'type': 'explodeBomb', 'completions': 33, 'avg_completions': 0.018333333333333333, 'first_completions': {'count': 1767, 'percentage': 98.16666666666667}}, {'type': 'plantBomb', 'completions': 91, 'avg_completions': 0.050555555555555555, 'first_completions': {'count': 1709, 'percentage': 94.94444444444444}}], 'win_rate': 48.05555555555556}]",
112861,"{'series_played': 30, 'games_played': 83}","{'kills': {'total': 1309, 'average': 43.63333333333333, 'best': 84, 'worst': 13}, 'deaths': {'total': 1030, 'average': 34.333333333333336, 'worst': 56, 'best': 16}, 'first_kills': {'total': 26, 'percentage': 86.66666666666667}, 'damage': {'total': 131944, 'average': 1589.686746987952, 'max': 5551}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 1800, 'combat': {'kills': {'total': 1309, 'average': 0.7272222222222222}, 'deaths': {'total': 1030, 'average': 0.5722222222222222}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 33, 'avg_completions': 0.018333333333333333, 'first_completions': {'count': 1777, 'percentage': 98.72222222222223}}, {'type': 'beginDefuseWithoutKit', 'completions': 17, 'avg_completions': 0.009444444444444445, 'first_completions': {'count': 1784, 'percentage': 99.11111111111111}}, {'type': 'explodeBomb', 'completions': 34, 'avg_completions': 0.01888888888888889, 'first_completions': {'count': 1766, 'percentage': 98.11111111111111}}, {'type': 'plantBomb', 'completions': 134, 'avg_completions': 0.07444444444444444, 'first_completions': {'count': 1666, 'percentage': 92.55555555555556}}], 'win_rate': 49.333333333333336}]",
112863,"{'series_played': 29, 'games_played': 80}","{'kills': {'total': 1057, 'average': 36.44827586206897, 'best': 57, 'worst': 20}, 'deaths': {'total': 1158, 'average': 39.93103448275862, 'worst': 71, 'best': 19}, 'first_kills': {'total': 24, 'percentage': 82.75862068965517}, 'damage': {'total': 127265, 'average': 1590.8125, 'max': 3950}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 1740, 'combat': {'kills': {'total': 1057, 'average': 0.6074712643678161}, 'deaths': {'total': 1158, 'average': 0.6655172413793103}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 20, 'avg_completions': 0.011494252873563218, 'first_completions': {'count': 1725, 'percentage': 99.13793103448276}}, {'type': 'beginDefuseWithoutKit', 'completions': 11, 'avg_completions': 0.00632183908045977, 'first_completions': {'count': 1730, 'percentage': 99.42528735632183}}, {'type': 'explodeBomb', 'completions': 20, 'avg_completions': 0.011494252873563218, 'first_completions': {'count': 1720, 'percentage': 98.85057471264368}}, {'type': 'plantBomb', 'completions': 68, 'avg_completions': 0.03908045977011494, 'first_completions': {'count': 1672, 'percentage': 96.0919540229885}}], 'win_rate': 48.275862068965516}]",
112865,"{'series_played': 29, 'games_played': 80}","{'kills': {'total': 1212, 'average': 41.793103448275865, 'best': 68, 'worst': 21}, 'deaths': {'total': 1153, 'average': 39.758620689655174, 'worst': 64, 'best': 19}, 'first_kills': {'total': 23, 'percentage': 79.3103448275862}, 'damage': {'total': 135194, 'average': 1689.925, 'max': 3984}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 1734, 'combat': {'kills': {'total': 1212, 'average': 0.698961937716263}, 'deaths': {'total': 1153, 'average': 0.6649365628604383}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 14, 'avg_completions': 0.008073817762399077, 'first_completions': {'count': 1722, 'percentage': 99.30795847750865}}, {'type': 'beginDefuseWithoutKit', 'completions': 24, 'avg_completions': 0.01384083044982699, 'first_completions': {'count': 1717, 'percentage': 99.01960784313727}}, {'type': 'explodeBomb', 'completions': 11, 'avg_completions': 0.006343713956170703, 'first_completions': {'count': 1723, 'percentage': 99.36562860438293}}, {'type': 'plantBomb', 'completions': 55, 'avg_completions': 0.031718569780853516, 'first_completions': {'count': 1679, 'percentage': 96.82814302191464}}], 'win_rate': 47.520184544406}]",
112867,"{'series_played': 29, 'games_played': 80}","{'kills': {'total': 1201, 'average': 41.41379310344828, 'best': 63, 'worst': 22}, 'deaths': {'total': 1142, 'average': 39.37931034482759, 'worst': 64, 'best': 20}, 'first_kills': {'total': 28, 'percentage': 96.55172413793103}, 'damage': {'total': 129483, 'average': 1618.5375, 'max': 3006}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 1724, 'combat': {'kills': {'total': 1201, 'average': 0.6966357308584686}, 'deaths': {'total': 1142, 'average': 0.6624129930394431}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 24, 'avg_completions': 0.013921113689095127, 'first_completions': {'count': 1703, 'percentage': 98.78190255220419}}, {'type': 'beginDefuseWithoutKit', 'completions': 12, 'avg_completions': 0.0069605568445475635, 'first_completions': {'count': 1714, 'percentage': 99.4199535962877}}, {'type': 'explodeBomb', 'completions': 28, 'avg_completions': 0.016241299303944315, 'first_completions': {'count': 1696, 'percentage': 98.37587006960557}}, {'type': 'plantBomb', 'completions': 117, 'avg_completions': 0.06786542923433875, 'first_completions': {'count': 1607, 'percentage': 93.21345707656613}}], 'win_rate': 47.79582366589327}]",
112869,"{'series_played': 42, 'games_played': 103}","{'kills': {'total': 1529, 'average': 36.404761904761905, 'best': 65, 'worst': 12}, 'deaths': {'total': 1585, 'average': 37.73809523809524, 'worst': 65, 'best': 16}, 'first_kills': {'total': 37, 'percentage': 88.09523809523809}, 'damage': {'total': 163945, 'average': 1591.6990291262136, 'max': 3333}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 2335, 'combat': {'kills': {'total': 1529, 'average': 0.6548179871520342}, 'deaths': {'total': 1585, 'average': 0.6788008565310493}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 27, 'avg_completions': 0.011563169164882228, 'first_completions': {'count': 2310, 'percentage': 98.92933618843684}}, {'type': 'beginDefuseWithoutKit', 'completions': 18, 'avg_completions': 0.007708779443254818, 'first_completions': {'count': 2322, 'percentage': 99.44325481798715}}, {'type': 'explodeBomb', 'completions': 32, 'avg_completions': 0.013704496788008565, 'first_completions': {'count': 2303, 'percentage': 98.62955032119915}}, {'type': 'plantBomb', 'completions': 92, 'avg_completions': 0.039400428265524624, 'first_completions': {'count': 2243, 'percentage': 96.05995717344754}}], 'win_rate': 50.021413276231264}]",
112871,"{'series_played': 41, 'games_played': 100}","{'kills': {'total': 1478, 'average': 36.048780487804876, 'best': 61, 'worst': 13}, 'deaths': {'total': 1559, 'average': 38.02439024390244, 'worst': 61, 'best': 16}, 'first_kills': {'total': 40, 'percentage': 97.5609756097561}, 'damage': {'total': 155920, 'average': 1559.2, 'max': 2949}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 2271, 'combat': {'kills': {'total': 1478, 'average': 0.650814619110524}, 'deaths': {'total': 1559, 'average': 0.686481726111845}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 43, 'avg_completions': 0.01893439013650374, 'first_completions': {'count': 2238, 'percentage': 98.54689564068693}}, {'type': 'beginDefuseWithoutKit', 'completions': 25, 'avg_completions': 0.011008366358432409, 'first_completions': {'count': 2254, 'percentage': 99.2514310876266}}, {'type': 'explodeBomb', 'completions': 77, 'avg_completions': 0.033905768383971815, 'first_completions': {'count': 2194, 'percentage': 96.60942316160282}}, {'type': 'plantBomb', 'completions': 198, 'avg_completions': 0.08718626155878467, 'first_completions': {'count': 2073, 'percentage': 91.28137384412153}}], 'win_rate': 50.06605019815059}]",
112873,"{'series_played': 42, 'games_played': 103}","{'kills': {'total': 1595, 'average': 37.976190476190474, 'best': 56, 'worst': 19}, 'deaths': {'total': 1642, 'average': 39.095238095238095, 'worst': 68, 'best': 15}, 'first_kills': {'total': 39, 'percentage': 92.85714285714286}, 'damage': {'total': 184257, 'average': 1788.9029126213593, 'max': 3461}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 2335, 'combat': {'kills': {'total': 1595, 'average': 0.683083511777302}, 'deaths': {'total': 1642, 'average': 0.7032119914346895}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 26, 'avg_completions': 0.01113490364025696, 'first_completions': {'count': 2320, 'percentage': 99.3576017130621}}, {'type': 'beginDefuseWithoutKit', 'completions': 19, 'avg_completions': 0.008137044967880086, 'first_completions': {'count': 2319, 'percentage': 99.31477516059957}}, {'type': 'explodeBomb', 'completions': 24, 'avg_completions': 0.010278372591006424, 'first_completions': {'count': 2311, 'percentage': 98.97216274089936}}, {'type': 'plantBomb', 'completions': 87, 'avg_completions': 0.037259100642398284, 'first_completions': {'count': 2248, 'percentage': 96.27408993576017}}], 'win_rate': 50.021413276231264}]",
