player_id,series_count,game_count,total_kills,avg_kills,max_kills,min_kills,total_deaths,avg_deaths,max_deaths,min_deaths,kd_ratio,kills_per_game,deaths_per_game,id,nickname,team_name
18932,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,18932,AG Nuke,CS2-1
18933,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,18933,BadjoSP,CS2-1
18934,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,18934,wunder,CS2-1
18935,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,18935,Bulletito,CS2-2
18936,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,18936,AGmurdercore,CS2-2
18937,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,18937,Hello 21,CS2-1
18938,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,18938,perrch,CS2-2
19538,37,89,1274,34.432432432432435,61,14,1276,34.486486486486484,68,13,0.9984326018808778,14.314606741573034,14.337078651685394,19538,marat2k 風速,L&G
19549,22,53,750,34.09090909090909,53,18,784,35.63636363636363,47,18,0.9566326530612245,14.150943396226415,14.79245283018868,19549,2high,ENCE Academy
43856,4,9,134,33.5,49,22,136,34.0,43,18,0.9852941176470589,14.88888888888889,15.11111111111111,43856,chawzyyy,Johnny Speeds
43890,18,42,626,34.77777777777778,63,20,633,35.166666666666664,54,24,0.9889415481832543,14.904761904761905,15.071428571428571,43890,arvid,HEIMO
43891,5,10,165,33.0,48,19,160,32.0,42,18,1.03125,16.5,16.0,43891,ykis,HEIMO
43892,18,42,607,33.72222222222222,72,20,611,33.94444444444444,49,22,0.9934533551554828,14.452380952380953,14.547619047619047,43892,japE,HEIMO
43893,18,42,572,31.77777777777778,53,14,640,35.55555555555556,57,21,0.89375,13.619047619047619,15.238095238095237,43893,welho,HEIMO
43930,126,293,4773,37.88095238095238,62,18,4307,34.182539682539684,65,7,1.1081959600650104,16.2901023890785,14.699658703071673,43930,goldfer,Gameinside
43938,149,353,4596,30.845637583892618,59,12,5033,33.77852348993289,57,11,0.9131730578183985,13.019830028328611,14.257790368271955,43938,k1ndoff,REMBAZA
43952,31,74,1081,34.87096774193548,82,17,1094,35.29032258064516,59,23,0.9881170018281535,14.608108108108109,14.783783783783784,43952,Griller,Preasy Esports
46343,18,42,573,31.833333333333332,58,14,618,34.333333333333336,56,22,0.9271844660194175,13.642857142857142,14.714285714285714,46343,BøghmagiC,Preasy Esports
46345,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,46345,Vigg0,Copenhagen Wolves
46834,2,5,63,31.5,38,25,69,34.5,40,29,0.9130434782608695,12.6,13.8,46834,hagmeister,777
46836,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,46836,Affava,777
46838,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,46838,MadeInRed,777
46840,2,5,54,27.0,31,23,63,31.5,36,27,0.8571428571428571,10.8,12.6,46840,Viktha,777
46842,2,5,72,36.0,41,31,72,36.0,41,31,1.0,14.4,14.4,46842,wenba,777
48296,6,8,110,18.333333333333332,32,6,138,23.0,34,15,0.7971014492753623,13.75,17.25,48296,prisma21,Galorys Academy
49997,1,2,8,8.0,8,8,8,8.0,8,8,1.0,4.0,4.0,49997,T3mpty,REMBAZA
55313,47,114,1570,33.40425531914894,53,18,1575,33.51063829787234,59,14,0.9968253968253968,13.771929824561404,13.81578947368421,55313,dziugss,Navi Junior
55463,22,53,786,35.72727272727273,51,17,847,38.5,54,20,0.9279811097992916,14.830188679245284,15.981132075471699,55463,Schwarz,ENCE Academy
64397,27,66,885,32.77777777777778,65,14,1025,37.96296296296296,61,22,0.8634146341463415,13.409090909090908,15.530303030303031,64397,suma,Astralis Talent
64403,27,66,863,31.962962962962962,58,13,999,37.0,62,19,0.8638638638638638,13.075757575757576,15.136363636363637,64403,sSen,Astralis Talent
65207,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,65207,㉑ JNC,JOGA DE TERNO
65215,12,28,400,33.333333333333336,55,16,432,36.0,51,24,0.9259259259259259,14.285714285714286,15.428571428571429,65215,lezy,9z Academy
65558,5,11,139,27.8,44,18,165,33.0,51,27,0.8424242424242424,12.636363636363637,15.0,65558,Lekzi,Bestia Academy
65560,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,65560,★ ⑳ balencyy,JOGA DE TERNO
66066,5,13,243,48.6,71,30,183,36.6,54,28,1.3278688524590163,18.692307692307693,14.076923076923077,66066,Senzu,The MongolZ
67467,9,24,401,44.55555555555556,62,30,405,45.0,65,29,0.9901234567901235,16.708333333333332,16.875,67467,hampus,Johnny Speeds
67967,10,25,361,36.1,56,19,381,38.1,54,25,0.94750656167979,14.44,15.24,67967,kelieN,INSILIO
68240,2,3,60,30.0,41,19,53,26.5,36,17,1.1320754716981132,20.0,17.666666666666668,68240,hfah,Haspers Team
68483,2,5,64,32.0,33,31,69,34.5,40,29,0.927536231884058,12.8,13.8,68483,qzr,777
71459,1,3,33,33.0,33,33,41,41.0,41,41,0.8048780487804879,11.0,13.666666666666666,71459,splaw1k,Illuminar gaming
72956,34,86,1230,36.1764705882353,58,18,1207,35.5,48,25,1.0190555095277547,14.30232558139535,14.034883720930232,72956,SpavaQu,Illuminar gaming
74811,21,51,735,35.0,60,8,796,37.904761904761905,52,19,0.9233668341708543,14.411764705882353,15.607843137254902,74811,-_Chudy,Anonymo
