id,series_title,tournament_name,start_time,format_name,format_short,team1_id,team1_name,team1_score_advantage,team2_id,team2_name,team2_score_advantage
2741099,cs2,T-esports Championship S3,2024-11-04 20:00:00+00:00,best-of-5,Bo5,51930,Anonymo,2,54079,Haspers Team,1
2740674,cs2,DBE 2024,2024-11-04 21:10:00+00:00,best-of-1,Bo1,53712,Vikings KR,0,52177,INTENSE GAME,0
2740675,cs2,DBE 2024,2024-11-04 22:00:00+00:00,best-of-1,Bo1,54156,America Esports,0,52238,Bounty Hunters,0
2732496,cs2,CCT S2 - South America S4,2024-11-04 22:30:00+00:00,best-of-3,Bo3,53712,Vikings KR,0,53830,JOGA DE TERNO,0
2740678,cs2,DBE 2024,2024-11-04 23:30:00+00:00,best-of-1,Bo1,54157,Galorys Academy,0,51311,Fluxo,0
2740677,cs2,DBE 2024,2024-11-05 00:00:00+00:00,best-of-1,Bo1,52023,ODDIK,0,49558,Sharks,0
2740172,cs2,Esports Battles Nov 2024 CS2,2024-11-05 06:25:00+00:00,best-of-3,Bo3,51651,Gameinside,0,51659,Purple Haze,0
2740287,cs2,Esports Battles Nov 2024 CS2,2024-11-05 07:45:00+00:00,best-of-3,Bo3,51659,Purple Haze,0,51651,Gameinside,0
2738487,cs2,EPL S20 - CS2,2024-11-05 09:00:00+00:00,best-of-3,Bo3,49787,SINNERS Esports,0,52233,ECLOT,0
2739213,cs2,United21 Season 22,2024-11-05 09:00:00+00:00,best-of-3,Bo3,53713,HEIMO,0,51509,Viperio,0
2740288,cs2,Esports Battles Nov 2024 CS2,2024-11-05 11:00:00+00:00,best-of-3,Bo3,51658,NightRaid,0,51652,Seight,0
2738512,cs2,EPL S20 - CS2,2024-11-05 11:30:00+00:00,best-of-3,Bo3,51337,9 Pandas,0,51552,Permitta,0
2739214,cs2,United21 Season 22,2024-11-05 12:00:00+00:00,best-of-3,Bo3,53826,ADEPTS,0,49975,Astralis Talent,0
2740289,cs2,Esports Battles Nov 2024 CS2,2024-11-05 12:35:00+00:00,best-of-3,Bo3,51652,Seight,0,51658,NightRaid,0
2732498,cs2,CCT S2 - South America S4,2024-11-05 16:30:00+00:00,best-of-3,Bo3,50948,9z Academy,0,53830,JOGA DE TERNO,0
2741316,cs2,T-esports Championship S3,2024-11-05 18:15:00+00:00,best-of-5,Bo5,51492,Kyoto,0,54139,kubixPulse,1
2741351,cs2,Ljósleiðara deildin 2024,2024-11-05 19:30:00+00:00,best-of-3,Bo3,51089,Armann,0,51088,SAGA,0
2732497,cs2,CCT S2 - South America S4,2024-11-05 20:15:00+00:00,best-of-3,Bo3,51146,MIBR Academy,0,51295,Yawara Esports,0
2740679,cs2,DBE 2024,2024-11-05 21:00:00+00:00,best-of-1,Bo1,51311,Fluxo,0,52238,Bounty Hunters,0
2740680,cs2,DBE 2024,2024-11-05 22:00:00+00:00,best-of-1,Bo1,49558,Sharks,0,52238,Bounty Hunters,0
2732499,cs2,CCT S2 - South America S4,2024-11-05 22:30:00+00:00,best-of-3,Bo3,50714,Sensei,0,49973,VeloX,0
2740676,cs2,DBE 2024,2024-11-05 23:00:00+00:00,best-of-1,Bo1,54156,America Esports,0,51791,Solid,0
2740682,cs2,DBE 2024,2024-11-06 00:15:00+00:00,best-of-1,Bo1,52177,INTENSE GAME,0,49558,Sharks,0
2740683,cs2,DBE 2024,2024-11-06 01:40:00+00:00,best-of-1,Bo1,54157,Galorys Academy,0,53712,Vikings KR,0
2742028,cs2,Esports Battles Nov 2024 CS2,2024-11-06 07:15:00+00:00,best-of-3,Bo3,51652,Seight,0,51651,Gameinside,0
2742036,cs2,Esports Battles Nov 2024 CS2,2024-11-06 08:55:00+00:00,best-of-3,Bo3,51651,Gameinside,0,51652,Seight,0
2738489,cs2,EPL S20 - CS2,2024-11-06 09:00:00+00:00,best-of-3,Bo3,49787,SINNERS Esports,0,51552,Permitta,0
2739215,cs2,United21 Season 22,2024-11-06 09:00:00+00:00,best-of-3,Bo3,52133,L&G,0,51536,GenOne,0
2740292,cs2,Esports Battles Nov 2024 CS2,2024-11-06 11:00:00+00:00,best-of-3,Bo3,51658,NightRaid,0,51659,Purple Haze,0
2738514,cs2,EPL S20 - CS2,2024-11-06 11:30:00+00:00,best-of-3,Bo3,49865,9INE,0,50069,Into The Breach,0
2739216,cs2,United21 Season 22,2024-11-06 11:30:00+00:00,best-of-3,Bo3,50020,777,0,54068,DevilsOne,0
2740293,cs2,Esports Battles Nov 2024 CS2,2024-11-06 13:30:00+00:00,best-of-3,Bo3,51659,Purple Haze,0,51658,NightRaid,0
2732500,cs2,CCT S2 - South America S4,2024-11-06 14:30:00+00:00,best-of-3,Bo3,50948,9z Academy,0,51311,Fluxo,0
2732501,cs2,CCT S2 - South America S4,2024-11-06 17:30:00+00:00,best-of-3,Bo3,54148,Game Hunters,0,53907,Bad News Chickens,0
2732502,cs2,CCT S2 - South America S4,2024-11-06 21:20:00+00:00,best-of-3,Bo3,50714,Sensei,0,51791,Solid,0
2732503,cs2,CCT S2 - South America S4,2024-11-06 23:30:00+00:00,best-of-3,Bo3,54147,ShindeN,0,51499,Hype E-sports,0
2740180,cs2,Esports Battles Nov 2024 CS2,2024-11-07 06:35:00+00:00,best-of-3,Bo3,51659,Purple Haze,0,51658,NightRaid,0
2740295,cs2,Esports Battles Nov 2024 CS2,2024-11-07 08:40:00+00:00,best-of-3,Bo3,51658,NightRaid,0,51659,Purple Haze,0
2738515,cs2,EPL S20 - CS2,2024-11-07 09:00:00+00:00,best-of-3,Bo3,53084,Navi Junior,0,53754,Rebels Gaming,0
2739217,cs2,United21 Season 22,2024-11-07 09:00:00+00:00,best-of-3,Bo3,53692,Copenhagen Wolves,0,49502,ENCE Academy,0
2740296,cs2,Esports Battles Nov 2024 CS2,2024-11-07 11:00:00+00:00,best-of-3,Bo3,51657,REMBAZA,0,51652,Seight,0
2739218,cs2,United21 Season 22,2024-11-07 11:30:00+00:00,best-of-3,Bo3,53069,Case,0,49506,Verdant,0
2738491,cs2,EPL S20 - CS2,2024-11-07 11:50:00+00:00,best-of-3,Bo3,52233,ECLOT,0,51337,9 Pandas,0
2740297,cs2,Esports Battles Nov 2024 CS2,2024-11-07 14:00:00+00:00,best-of-3,Bo3,51652,Seight,0,51657,REMBAZA,0
