id,name,name_short,start_date,end_date,private,title_ids,title_names
106129,Intel Extreme Masters Season XVII - Dallas,Intel Extreme Master,,,False,['1'],['Counter Strike: Global Offensive']
106136,Ace X Prague Open 2022,Ace X Prague Open 20,,,False,['1'],['Counter Strike: Global Offensive']
106137,Esportal Global Open 2022,Esportal Global Open,,,False,['1'],['Counter Strike: Global Offensive']
106141,SuperBattles,SuperBattles,,,False,['1'],['Counter Strike: Global Offensive']
106142,ESEA Cash Cup: Europe - Spring 2022 #5,ESEA Cash Cup: Europ,,,False,['1'],['Counter Strike: Global Offensive']
106143,ESEA Cash Cup: North America - Spring 2022 #5,ESEA Cash Cup: North,,,False,['1'],['Counter Strike: Global Offensive']
106145,DPC SEA 2021/2022 Tour 3: Closed Qualifier,DPC SEA 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106149,ESL Impact Valencia 2022: South American Qualifier,ESL Impact Valencia ,,,False,['1'],['Counter Strike: Global Offensive']
106150,Svenska Elitserien Spring 2022: Online Stage,Svenska Elitserien S,,,False,['1'],['Counter Strike: Global Offensive']
106151,Venezuelan Dota League Tour 1,Venezuelan Dota Leag,,,False,['2'],['Defense of the Ancients 2']
106152,ESL Impact League Season 1,ESL Impact League Se,,,False,['1'],['Counter Strike: Global Offensive']
106154,ESF League,ESF League,,,False,['2'],['Defense of the Ancients 2']
106155,DPC EEU 2021/2022 Tour 3: Closed Qualifier,DPC EEU 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106157,DPC SEA 2021/2022 Tour 3: Open Qualifier #3,DPC SEA 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106158,SCO Students Cup 2022,SCO Students Cup 202,,,False,['1'],['Counter Strike: Global Offensive']
106159,Gamers Club Liga Série A: May 2022,Gamers Club Liga Sé,,,False,['1'],['Counter Strike: Global Offensive']
106162,eSM Liiga Spring 2022,eSM Liiga Spring 202,,,False,['1'],['Counter Strike: Global Offensive']
106163,ROG Masters East EMEA 2022,ROG Masters East EME,,,False,['1'],['Counter Strike: Global Offensive']
106164,DPC CN 2021/2022 Tour 3: Division II,DPC CN 2021/2022 Tou,,,False,['2'],['Defense of the Ancients 2']
106169,DPC SEA 2021/2022 Tour 3: Division II,DPC SEA 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106170,DPC EEU 2021/2022 Tour 3: Division II,DPC EEU 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106174,DPC WEU 2021/2022 Tour 3: Division II,DPC WEU 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106178,DPC NA 2021/2022 Tour 3: Division II,DPC NA 2021/2022 Tou,,,False,['2'],['Defense of the Ancients 2']
106179,DPC SA 2021/2022 Tour 3: Division II,DPC SA 2021/2022 Tou,,,False,['2'],['Defense of the Ancients 2']
106180,DPC CN 2021/2022 Tour 3: Division I,DPC CN 2021/2022 Tou,,,False,['2'],['Defense of the Ancients 2']
106181,DPC WEU 2021/2022 Tour 3: Division I,DPC WEU 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106184,DPC NA 2021/2022 Tour 3: Division I,DPC NA 2021/2022 Tou,,,False,['2'],['Defense of the Ancients 2']
